epoch,nll,penalty,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,,,389,,,,,0.10220000147819519,1.5443222522735596
0,0.3838919997215271,0.00552004249766469,389,,,0.8534855842590332,0.38941216468811035,,
1,,,779,,,,,0.14100000262260437,1.352934718132019
1,0.3622656762599945,0.004144549835473299,779,,,0.8534655570983887,0.36641019582748413,,
2,,,1169,,,,,0.5602999925613403,0.6884289979934692
2,0.47193095088005066,0.0022920225746929646,1169,,,0.7315304279327393,0.5270506739616394,,
3,,,1559,,,,,0.45159998536109924,0.7968902587890625
3,0.6671147346496582,0.00013493736332748085,1559,,,0.5587740540504456,0.6806085705757141,,
4,,,1949,,,,,0.49000000953674316,0.8116707801818848
4,0.6361376047134399,0.0003891291853506118,1949,,,0.5590144395828247,0.6750510334968567,,
5,,,2339,,,,,0.498199999332428,0.8355974555015564
5,0.6179701685905457,0.0003907441277988255,2339,,,0.5591546297073364,0.6570450067520142,,
6,,,2729,,,,,0.5871000289916992,0.8797117471694946
6,0.5937342047691345,0.00028064855723641813,2729,,,0.5793469548225403,0.621799111366272,,
7,,,3119,,,,,0.5993000268936157,0.8821828961372375
7,0.5723475813865662,0.0005359619972296059,3119,,,0.6409855484962463,0.6259438395500183,,
8,,,3509,,,,,0.6603000164031982,0.7992568016052246
8,0.5817613005638123,0.0002476503432262689,3509,,,0.598237156867981,0.6065261960029602,,
9,,,3899,,,,,0.7199000120162964,0.7902696132659912
9,0.5922444462776184,0.00028047600062564015,3899,,,0.5741987228393555,0.6202920079231262,,
10,,,4289,,,,,0.5787000060081482,0.8493104577064514
10,0.5670790672302246,0.0005474845529533923,4289,,,0.6385416388511658,0.6218274831771851,,
11,,,4679,,,,,0.5938000082969666,1.0384514331817627
11,0.5512464046478271,0.0006368535105139017,4679,,,0.6773637533187866,0.6149316430091858,,
12,,,5069,,,,,0.38839998841285706,1.0346653461456299
12,0.537752628326416,0.0003838701522909105,5069,,,0.6821914911270142,0.5761398077011108,,
13,,,5459,,,,,0.5151000022888184,0.8037686944007874
13,0.5296289920806885,0.0008318197797052562,5459,,,0.6916065812110901,0.6128110885620117,,
14,,,5849,,,,,0.2784000039100647,1.0853021144866943
14,0.5241098403930664,0.000200207534362562,5849,,,0.7566706538200378,0.5441309809684753,,
15,,,6239,,,,,0.5719000101089478,0.8560133576393127
15,0.5563206672668457,0.0007669292390346527,6239,,,0.6729968190193176,0.6330133080482483,,
16,,,6629,,,,,0.4512999951839447,1.1361943483352661
16,0.531767725944519,0.0007032189751043916,6629,,,0.7343149185180664,0.6020898818969727,,
17,,,7019,,,,,0.5099999904632568,0.8751886487007141
17,0.54337477684021,0.0004141865356359631,7019,,,0.7293669581413269,0.5847934484481812,,
18,,,7409,,,,,0.4544999897480011,1.054807424545288
18,0.5149787068367004,0.0004614322679117322,7409,,,0.7431690692901611,0.5611220598220825,,
19,,,7799,,,,,0.37619999051094055,1.1286706924438477
19,0.5198712348937988,0.0007553771720267832,7799,,,0.7524839639663696,0.5954091548919678,,
20,,,8189,,,,,0.4180999994277954,1.087714433670044
20,0.47066181898117065,0.0008604191243648529,8189,,,0.7781049609184265,0.5567039251327515,,
21,,,8579,,,,,0.524399995803833,1.0417801141738892
21,0.49889907240867615,0.0008234208798967302,8579,,,0.7513220906257629,0.581241250038147,,
22,,,8969,,,,,0.3398999869823456,1.3442976474761963
22,0.5050131678581238,5.31544974364806e-05,8969,,,0.7444310784339905,0.5103282928466797,,
23,,,9359,,,,,0.4740000069141388,0.9747045636177063
23,0.5253497958183289,0.0007387472433038056,9359,,,0.7389623522758484,0.5992246866226196,,
24,,,9749,,,,,0.34040001034736633,1.1874300241470337
24,0.5254971385002136,0.0003435164981056005,9749,,,0.7653045058250427,0.5598492622375488,,
25,,,10139,,,,,0.42260000109672546,1.015115737915039
25,0.5187382698059082,0.0008732715505175292,10139,,,0.7605969309806824,0.6060656309127808,,
26,,,10529,,,,,0.22030000388622284,1.5012085437774658
26,0.5015307068824768,-0.0002321716892765835,10529,,,0.7837339639663696,0.47831323742866516,,
27,,,10919,,,,,0.3497999906539917,1.1653871536254883
27,0.5345376133918762,0.0012072230456396937,10919,,,0.7501001358032227,0.6552602052688599,,
28,,,11309,,,,,0.5149999856948853,1.0673760175704956
28,0.5179768204689026,0.00035594156361185014,11309,,,0.7613782286643982,0.5535712838172913,,
29,,,11699,,,,,0.4837000072002411,0.9886905550956726
29,0.5178627371788025,0.0005041316617280245,11699,,,0.7187299728393555,0.5682761073112488,,
30,,,11700,0.4860999882221222,1.0006030797958374,,,,
