epoch,nll,penalty,step,train_acc,train_loss,val_acc,val_loss
0,,,389,,,0.12099999934434891,1.3523253202438354
0,0.39072301983833313,0.005338551010936499,389,0.8458934426307678,0.3914652168750763,,
1,,,779,,,0.13750000298023224,1.5220272541046143
1,0.36468130350112915,0.00344286672770977,779,0.850701093673706,0.36471566557884216,,
2,,,1169,,,0.1867000013589859,1.4519903659820557
2,0.35367751121520996,0.0026218723505735397,1169,0.8524839878082275,0.3537035286426544,,
