disc_loss,epoch,gen_loss,step,val_acc,val_loss
,0,,389,0.5133000016212463,0.6935339570045471
0.24354983866214752,0,0.23821952939033508,389,,
,1,,779,0.5138999819755554,0.6934627890586853
0.1251598298549652,1,0.12075626850128174,779,,
,2,,1169,0.5144000053405762,0.6932791471481323
0.09932636469602585,2,0.09468582272529602,1169,,
,3,,1559,0.5121999979019165,0.6936657428741455
0.08521054685115814,3,0.08531861007213593,1559,,
,4,,1949,0.5135999917984009,0.6935145854949951
0.07873495668172836,4,0.0748632475733757,1949,,
,5,,2339,0.5144000053405762,0.6934149861335754
0.0717700943350792,5,0.07382865995168686,2339,,
,6,,2729,0.5134000182151794,0.6935268044471741
0.06327749043703079,6,0.062521792948246,2729,,
,7,,3119,0.5148000121116638,0.6933311820030212
0.06539326906204224,7,0.06074228510260582,3119,,
,8,,3509,0.5133000016212463,0.6935601830482483
0.0548330582678318,8,0.05186384171247482,3509,,
,9,,3899,0.5127999782562256,0.6936051845550537
0.056803032755851746,9,0.0545630007982254,3899,,
,10,,4289,0.5145000219345093,0.6932046413421631
0.051398564130067825,10,0.05115502327680588,4289,,
,11,,4679,0.5138000249862671,0.6934286952018738
0.050956595689058304,11,0.05070872977375984,4679,,
,12,,5069,0.5131000280380249,0.6935774087905884
0.049037106335163116,12,0.04376087337732315,5069,,
