epoch,penalty_causal,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,,389,,,,,0.6407999992370605,0.6852750778198242
0,0.00019711683853529394,389,,,0.6430288553237915,0.6970974802970886,,
1,,390,0.6358000040054321,0.6849731206893921,,,,
