epoch,penalty_causal,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,,389,,,,,0.5803999900817871,0.6904548406600952
0,0.00024722967646084726,389,,,0.6376001834869385,0.702294111251831,,
1,,390,0.5874000191688538,0.6896871328353882,,,,
