epoch,nll,penalty,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,,,389,,,,,0.10939999669790268,1.6019635200500488
0,0.3920496106147766,0.006723103113472462,389,,,0.8459535241127014,0.3924724757671356,,
1,,,779,,,,,0.16189999878406525,1.4414094686508179
1,0.3674750328063965,0.00420689070597291,779,,,0.848557710647583,0.36751681566238403,,
2,,,1169,,,,,0.14550000429153442,1.5502450466156006
2,0.3503141701221466,0.003800302976742387,1169,,,0.8522836565971375,0.3503522574901581,,
3,,,1559,,,,,0.1421000063419342,1.7514991760253906
3,0.33473435044288635,0.0025308707263320684,1559,,,0.8592347502708435,0.3347596526145935,,
4,,,1949,,,,,0.26019999384880066,1.4205137491226196
4,0.3216463625431061,0.00355424452573061,1949,,,0.8638020753860474,0.3216818571090698,,
5,,,2339,,,,,0.21739999949932098,1.6665825843811035
5,0.2999095022678375,0.002899625338613987,2339,,,0.8738581538200378,0.2999383509159088,,
6,,,2729,,,,,0.1964000016450882,2.0853092670440674
6,0.2828860282897949,0.0016976007027551532,2729,,,0.8837540149688721,0.28290292620658875,,
7,,,3119,,,,,0.23170000314712524,1.9503962993621826
7,0.2623544931411743,0.0011661469470709562,3119,,,0.8933293223381042,0.2623662054538727,,
8,,,3509,,,,,0.24320000410079956,2.0964415073394775
8,0.23344340920448303,0.0018644054653123021,3509,,,0.9070512652397156,0.23346203565597534,,
9,,,3899,,,,,0.24979999661445618,2.2943012714385986
9,0.22078916430473328,0.0013946304097771645,3899,,,0.9107571840286255,0.22080320119857788,,
10,,,4289,,,,,0.2799000144004822,2.4052536487579346
10,0.19567641615867615,0.001017355709336698,4289,,,0.9228165149688721,0.19568650424480438,,
11,,,4679,,,,,0.29750001430511475,2.6727709770202637
11,0.17143648862838745,0.0009978667367249727,4679,,,0.9339542984962463,0.1714465618133545,,
12,,,5069,,,,,0.2671999931335449,3.0708279609680176
12,0.15306420624256134,0.0006911387317813933,5069,,,0.9409655332565308,0.1530710905790329,,
13,,,5459,,,,,0.29649999737739563,3.0325722694396973
13,0.1371777206659317,0.000659837038256228,5459,,,0.947576105594635,0.13718438148498535,,
14,,,5849,,,,,0.28060001134872437,3.3590292930603027
14,0.12379234284162521,0.00064216268947348,5849,,,0.9526642560958862,0.12379874289035797,,
15,,,6239,,,,,0.30649998784065247,3.4397497177124023
15,0.10981222242116928,0.0005931697087362409,6239,,,0.9582932591438293,0.10981815308332443,,
16,,,6629,,,,,0.2777999937534332,4.061569690704346
16,0.09942540526390076,0.0007243388099595904,6629,,,0.9627603888511658,0.0994325801730156,,
17,,,7019,,,,,0.2809999883174896,4.199777126312256
17,0.08789310604333878,0.0005125404568389058,7019,,,0.9680288434028625,0.08789818733930588,,
18,,,7409,,,,,0.26570001244544983,4.691388130187988
18,0.07993580400943756,0.0004272076184861362,7409,,,0.9698718190193176,0.07994009554386139,,
19,,,7799,,,,,0.30970001220703125,4.515513896942139
19,0.0768740326166153,0.0004921490326523781,7799,,,0.9723357558250427,0.07687891274690628,,
20,,,8189,,,,,0.27619999647140503,4.848968505859375
20,0.06758536398410797,0.00039003207348287106,8189,,,0.9757612347602844,0.06758925318717957,,
21,,,8579,,,,,0.2937999963760376,4.954244136810303
21,0.06325583904981613,0.00030111195519566536,8579,,,0.9769230484962463,0.0632588341832161,,
22,,,8969,,,,,0.26919999718666077,5.448699951171875
22,0.06126759946346283,0.0002316664467798546,8969,,,0.9771233797073364,0.06126992031931877,,
23,,,9359,,,,,0.3086000084877014,5.107911109924316
23,0.05790424719452858,0.0002518298861104995,9359,,,0.9784455299377441,0.057906825095415115,,
24,,,9749,,,,,0.2840000092983246,5.497304916381836
24,0.054636113345623016,0.00022249107132665813,9749,,,0.9802283644676208,0.0546383336186409,,
25,,,10139,,,,,0.28279998898506165,5.4292073249816895
25,0.05230867490172386,0.0002430519089102745,10139,,,0.9814703464508057,0.052311088889837265,,
26,,,10529,,,,,0.31540000438690186,5.421847343444824
26,0.04352652281522751,0.00019826959760393947,10529,,,0.9846754670143127,0.043528515845537186,,
27,,,10919,,,,,0.3077000081539154,5.621549129486084
27,0.045890990644693375,0.000220161717152223,10919,,,0.9834935665130615,0.04589320346713066,,
28,,,11309,,,,,0.2976999878883362,5.830759525299072
28,0.04515086114406586,0.00017737627786118537,11309,,,0.9838541746139526,0.04515262320637703,,
29,,,11699,,,,,0.2712000012397766,6.366771697998047
29,0.04728176072239876,0.00017398304771631956,11699,,,0.9829126596450806,0.04728350043296814,,
30,,,11700,0.27239999175071716,6.267674922943115,,,,
